timestamp,vehicle_id,speed,engine_temperature,vibration,battery_voltage,mileage,fault_label
2025-11-13 10:14:35.397863,VEH-052,51.16,91.02,1.461,12.89,10332.69,0
2025-11-13 10:16:25.397863,VEH-093,83.77,95.24,10.0,12.82,548.89,1
2025-11-13 10:17:32.397863,VEH-015,46.76,105.19,1.766,12.99,89384.69,1
2025-11-13 10:18:07.397863,VEH-072,38.77,95.18,10.0,12.53,143861.61,1
2025-11-13 10:18:11.397863,VEH-061,65.52,83.59,7.095,12.96,3889.09,0
2025-11-13 10:18:49.397863,VEH-021,53.09,88.36,0.938,12.86,62100.96,0
2025-11-13 10:19:54.397863,VEH-083,24.86,81.39,4.561,12.62,97572.13,0
2025-11-13 10:19:54.397863,VEH-087,100.43,91.34,3.782,13.2,99366.13,0
2025-11-13 10:19:57.397863,VEH-075,39.33,92.85,2.184,11.43,117321.6,1
2025-11-13 10:20:23.397863,VEH-075,78.19,84.49,4.467,12.53,117361.73,0
2025-11-13 10:20:25.397863,VEH-088,76.05,84.14,10.0,14.81,73235.13,1
2025-11-13 10:20:26.397863,VEH-100,23.51,89.66,10.0,12.85,126070.74,1
2025-11-13 10:23:13.397863,VEH-024,29.94,86.41,6.228,13.76,128868.2,0
2025-11-13 10:25:47.397863,VEH-003,47.46,87.26,2.188,12.58,74177.48,0
2025-11-13 10:26:49.397863,VEH-022,33.36,89.76,8.434,14.28,62544.9,1
2025-11-13 10:27:36.397863,VEH-053,98.16,88.22,7.44,14.89,117212.03,1
2025-11-13 10:28:49.397863,VEH-002,50.0,87.84,3.78,12.44,141447.11,1
2025-11-13 10:29:29.397863,VEH-088,77.24,75.14,2.191,14.9,73239.02,1
2025-11-13 10:30:32.397863,VEH-030,67.84,85.61,10.0,13.21,138338.08,1
2025-11-13 10:31:10.397863,VEH-038,61.6,90.05,6.385,12.41,45690.12,0
2025-11-13 10:31:11.397863,VEH-002,56.01,92.07,10.0,13.36,141462.03,1
2025-11-13 10:32:01.397863,VEH-064,85.93,79.45,10.0,12.8,36142.2,1
2025-11-13 10:32:51.397863,VEH-060,34.37,87.72,5.091,12.85,147534.59,0
2025-11-13 10:34:00.397863,VEH-021,98.16,87.58,3.28,13.27,62125.42,0
2025-11-13 10:36:27.397863,VEH-033,22.82,88.58,2.937,13.21,143801.96,0
2025-11-13 10:36:33.397863,VEH-076,74.54,105.47,10.0,13.98,107408.65,1
2025-11-13 10:37:55.397863,VEH-058,19.87,105.25,1.488,11.13,17592.89,1
2025-11-13 10:38:39.397863,VEH-022,47.11,94.0,5.128,12.53,62582.88,0
2025-11-13 10:42:18.397863,VEH-089,57.33,89.78,1.359,14.43,4982.63,0
2025-11-13 10:43:36.397863,VEH-049,42.83,77.13,0.998,12.6,127257.96,1
2025-11-13 10:45:44.397863,VEH-091,50.46,85.81,7.88,12.43,69427.89,0
2025-11-13 10:46:24.397863,VEH-059,20.33,83.3,3.359,12.51,107044.77,0
2025-11-13 10:46:49.397863,VEH-042,30.31,93.22,4.413,14.53,34265.9,1
2025-11-13 10:48:01.397863,VEH-092,67.46,85.86,10.0,12.54,144696.49,1
2025-11-13 10:48:32.397863,VEH-060,55.74,82.66,2.891,12.22,147569.21,0
2025-11-13 10:49:09.397863,VEH-080,37.74,104.07,1.422,13.04,46375.89,0
2025-11-13 10:50:10.397863,VEH-015,88.11,91.08,3.472,13.99,89387.65,0
2025-11-13 10:50:50.397863,VEH-062,24.5,106.69,5.7,12.38,102911.2,1
2025-11-13 10:51:23.397863,VEH-062,45.96,101.15,0.564,12.29,102914.9,0
2025-11-13 10:51:53.397863,VEH-047,42.36,84.47,10.0,13.42,79196.11,1
2025-11-13 10:52:00.397863,VEH-062,70.38,95.22,1.655,11.79,102952.49,0
2025-11-13 10:52:06.397863,VEH-051,56.2,85.05,4.319,13.32,46298.2,0
2025-11-13 10:53:14.397863,VEH-055,52.3,74.01,3.345,12.66,130324.16,1
2025-11-13 10:53:34.397863,VEH-064,8.89,92.8,1.397,12.69,36158.0,0
2025-11-13 10:53:49.397863,VEH-003,76.63,90.06,4.644,12.17,74204.75,1
